,State_Name,State_ab,Lat,Lon,Mean,Median,Stdev,easting,northing,zone_number,zone_letter
18950,New York,NY,40.775169,-73.727975,119998,108232,76650,607343.2594614533,4514577.447738215,18,T
18951,New York,NY,42.198052000000004,-76.554511,56251,47574,48335,371657.5073173741,4672935.700268992,18,T
18952,New York,NY,42.653662,-73.934268,91602,80840,58024,587352.7697848771,4722906.207939949,18,T
18953,New York,NY,43.077194,-75.713656,52891,41693,44961,441903.8445330906,4769634.235221625,18,T
18954,New York,NY,41.63706,-74.263278,0,0,0,561359.239285758,4609742.798049939,18,T
18955,New York,NY,43.216363,-77.4219,48232,36172,40085,303285.2434867616,4787689.799595938,18,T
18956,New York,NY,43.973622999999996,-75.621561,58658,54392,38904,450144.79086204304,4869130.977416793,18,T
18957,New York,NY,40.695816,-73.65045400000001,108834,98347,70892,614020.6764081247,4505866.311729834,18,T
18958,New York,NY,42.637982,-73.594371,96359,300000,59023,615241.7975685643,4721572.214445633,18,T
18959,New York,NY,42.330568,-75.971618,56782,43173,44985,419950.3548553068,4686936.962452442,18,T
18960,New York,NY,44.08372,-73.53706,28726,300000,16112,617125.2887522856,4882211.905118022,18,T
18961,New York,NY,41.576093,-74.485648,63762,51563,51055,542879.0235844945,4602839.784006223,18,T
18963,New York,NY,40.701496899999995,-73.97160229999999,117203,300000,71140,586879.5501978144,4506129.730974762,18,T
18964,New York,NY,40.6131411,-73.95312390000001,60976,48829,57396,588557.4126543233,4496340.171202287,18,T
18965,New York,NY,40.6087339,-73.95231740000001,78908,67319,72165,588631.4608787011,4495851.762483255,18,T
18966,New York,NY,40.7164576,-73.9592358,107738,87129,74714,587904.6180548501,4507802.771440965,18,T
18967,New York,NY,43.1671427,-74.2612368,56407,51491,37926,560052.005584761,4779640.849564171,18,T
18968,New York,NY,40.7219984,-73.95933659999999,103917,63790,84516,587888.8156451411,4508417.737199405,18,T
18969,New York,NY,40.7262636,-73.9568789,97871,84134,62028,588090.758790392,4508893.666697405,18,T
18970,New York,NY,40.730219,-73.957763,82430,66715,63113,588010.8841123647,4509331.857218993,18,T
18971,New York,NY,40.599266799999995,-73.93688259999999,63115,47371,55345,589949.9234440987,4494816.526245565,18,T
18972,New York,NY,40.7280487,-73.94883,93687,300000,70996,588768.1212628019,4509099.931549733,18,T
18973,New York,NY,40.5994398,-73.9515127,62421,37733,61177,588711.8264276378,4494820.884105108,18,T
18974,New York,NY,40.594074799999994,-73.9586719,61425,46412,55058,588113.1248984751,4494218.154851307,18,T
18975,New York,NY,40.7235304,-73.9429338,105941,103998,69599,589272.0840030159,4508604.346216498,18,T
18976,New York,NY,40.5930119,-73.9476257,64312,59703,53338,589049.2378014977,4494111.281909283,18,T
18977,New York,NY,40.5878962,-73.9362265,61112,46205,55493,590020.6869557783,4493555.007773852,18,T
18978,New York,NY,43.016001,-74.3628589,58574,45799,42759,551918.9188777768,4762788.621393804,18,T
18979,New York,NY,40.58394929999999,-73.94909609999999,59083,41558,47790,588936.8204734863,4493103.80683936,18,T
18980,New York,NY,40.5798725,-73.9557672,45510,26994,53165,588377.6090097914,4492644.54840406,18,T
